iter	RMSE
0	110454598.1
1	105429749.8
2	102506383.5
3	99687417.78
4	96460856.58
5	92915640.76
6	89505733.87
7	86411030.43
8	83642375.72
9	81794691.82
10	78987516.13
11	78139860.37
12	76573004.85
13	74479211.73
14	72966133.22
15	70870684.5
16	69573688.07
17	67847332.08
18	66602099.79
19	65931370.63
20	64268920.73
21	63334541.04
22	61842299.55
23	60502113.96
24	59755051.48
25	58663926.87
26	57796136.09
27	56830434.17
28	56331152.73
29	55268951.31
30	54047253.66
31	53202945.18
32	52739225.1
33	51703586.37
34	50536293.59
35	49466750.61
36	48864426.39
37	48186381.18
38	47409973.42
39	46932916.05
40	46303685.57
41	45895613.53
42	45130347.69
43	44338536.76
44	43869330.23
45	43353226
46	42911474.69
47	42560737.57
48	41983712.8
49	41715034.83
50	41236949.61
51	40650543.01
52	40438569.34
53	40112534.69
54	39762931.06
55	39350933.02
56	39059434.99
57	38825169.61
58	38635189.73
59	38286470.15
60	37920523.87
61	37758140.04
62	37527448.93
63	37127149.63
64	36855159.15
65	36684304.89
66	36389085.97
67	36213249.94
68	35886907.44
69	35370593.78
70	35229881.92
71	34920231
72	34793707.4
73	34592102.49
74	34349002.67
75	33844447.25
76	33766415.56
77	33591744.72
78	33440327.19
79	33341291.12
80	33274950.23
81	33190029.23
82	33116180.6
83	33034157.74
84	32901527.63
85	32604065.71
86	32421982.64
87	32362511.81
88	32268807.37
89	32054240.27
90	31970342.83
91	31922245.09
92	31468696.97
93	31175043.17
94	30934864.7
95	30859393.93
96	30724480.81
97	30667042.72
98	30562931.19
99	30399135.02
100	30186342.6
101	29792703.97
102	29348627.06
103	29125484.9
104	29099298.96
105	28806935.22
106	28684429.74
107	28438008.15
108	28042284.22
109	27758672.62
110	27696117.08
111	27630136.79
112	27520923.72
113	27501428.2
114	27479475.65
115	27459179.98
116	27431485.38
117	27151488.93
118	27126435.8
119	27103361.25
120	26625295.31
121	26375789.2
122	26309506.12
123	26005234.96
124	25882100.11
125	25704060.33
126	25579522.09
127	25509298.62
128	25192463.06
129	24817434.53
130	24695383.61
131	24643185.92
132	24318249.28
133	24006210.35
134	23715897.42
135	23677974.05
136	23279412.25
137	22971963.32
138	22959226.73
139	22707671.85
140	22697093.86
141	22446698.34
142	22299326.61
143	22002563.89
144	21951999.05
145	21760226.78
146	21386992.48
147	21373231.99
148	21154205.3
149	20945655.07
150	20934032.09
151	20835377.45
152	20701295.9
153	20682071.04
154	20464091.66
155	20257109.32
156	20105369.31
157	19946121.52
158	19804688.89
159	19790457.75
160	19649232.02
161	19640227.78
162	19622156.19
163	19480434.42
164	19341240.75
165	19259516.86
166	19137709.75
167	19053533.92
168	18908465.76
169	18849761.04
170	18739695.1
171	18577927.62
172	18518148.04
173	18418835.89
174	18353632.86
175	18317864.58
176	18154520.42
177	18040388.72
178	18005177.13
179	17989077.96
180	17927073.7
181	17860206.81
182	17812921.1
183	17724425.49
184	17691983.78
185	17676333.2
186	17667817.69
187	17540675.72
188	17452838.75
189	17401332.38
190	17323779.67
191	17255368.11
192	17242151.12
193	17197906.03
194	17087935.1
195	17006248.27
196	16931386.75
197	16894461.6
198	16820015.45
199	16797896.46
